City,State,Lat,Long,commas,CityState,Opened,Mopened
Anchorage,Alaska,61.218056,-149.900278,",","Anchorage,Alaska",9/1/05,9/05
South San Francisco,California,37.654656,-122.40775,",","South San Francisco,California",9/1/05,9/05
Henderson,Nevada,36.0301134,-114.9826194,",","Henderson,Nevada",9/1/05,9/05
Missoula,Montana,46.8701049,-113.9952672,",","Missoula,Montana",9/1/05,9/05
Sun City,Arizona,33.597539,-112.271824,",","Sun City,Arizona",9/1/05,9/05
Phoenix,Arizona,33.448377,-112.074037,",","Phoenix,Arizona",9/1/05,9/05
Des Peres,Missouri,38.6049811,-90.4426837,",","Des Peres,Missouri",9/1/05,9/05
Forest Park,Illinois,41.8794758,-87.81367,",","Forest Park,Illinois",9/1/05,9/05
Charlotte,North Carolina,35.2271986,-80.843083,",","Charlotte,North Carolina",9/1/05,9/05
Vineland,New Jersey,39.473152,-75.0020265,",","Vineland,New Jersey",9/1/05,9/05
Tempe,Arizona,33.42551,-111.940005,",","Tempe,Arizona",9/2/05,9/05
Des Moines,Iowa,41.5910641,-93.6037149,",","Des Moines,Iowa",9/3/05,9/05
Chesterfield Township,Michigan,42.6628105,-82.8424208,",","Chesterfield Township,Michigan",9/4/05,9/05
Elk Grove,California,38.408799,-121.371618,",","Elk Grove,California",9/9/05,9/05
Chino,California,39.728494,-121.837478,",","Chino,California",9/16/05,9/05
Murrieta,California,33.553914,-117.213923,",","Murrieta,California",9/16/05,9/05
Houston,Texas,31.3378465,-95.390805,",","Houston,Texas",9/16/05,9/05
Auburn,Maine,44.0978509,-70.2311655,",","Auburn,Maine",9/16/05,9/05
Petaluma,California,38.232417,-122.636652,",","Petaluma,California",9/17/05,9/05
Boise,Idaho,43.6166163,-116.200886,",","Boise,Idaho",9/30/05,9/05
Camp Verde,Arizona,34.563636,-111.854318,",","Camp Verde,Arizona",9/30/05,9/05
Pittsburg,Kansas,37.4108841,-94.70496,",","Pittsburg,Kansas",9/30/05,9/05
Marion,Indiana,39.7810289,-86.1365457,",","Marion,Indiana",9/30/05,9/05
Salem,Oregon,44.9391565,-123.033121,",","Salem,Oregon",10/1/05,10/05
Kent,Washington,47.3826903,-122.2270272,",","Kent,Washington",10/1/05,10/05
Pittsburg,California,38.027976,-121.884681,",","Pittsburg,California",10/1/05,10/05
Humble,Texas,29.9988312,-95.2621553,",","Humble,Texas",10/1/05,10/05
Carmel,Indiana,39.9788017,-86.1189257,",","Carmel,Indiana",10/1/05,10/05
Hixson,Tennessee,35.236207,-85.298206,",","Hixson,Tennessee",10/1/05,10/05
Grand Forks,North Dakota,47.9078244,-97.0592028,",","Grand Forks,North Dakota",10/3/05,10/05
Grand Rapids,Michigan,42.9632405,-85.6678639,",","Grand Rapids,Michigan",10/3/05,10/05
Cheney,Washington,47.4873895,-117.5757676,",","Cheney,Washington",10/14/05,10/05
Aurora,Colorado,39.729432,-104.8319196,",","Aurora,Colorado",11/1/05,11/05
Sioux Falls,South Dakota,43.5499749,-96.700327,",","Sioux Falls,South Dakota",11/1/05,11/05
Oak Creek,Wisconsin,42.8858503,-87.8631362,",","Oak Creek,Wisconsin",11/1/05,11/05
Niles,Ohio,41.1828353,-80.765358,",","Niles,Ohio",11/1/05,11/05
Roanoke,Virginia,37.2738215,-79.9602021,",","Roanoke,Virginia",11/1/05,11/05
Alexandria,Virginia,38.8051095,-77.0470229,",","Alexandria,Virginia",11/1/05,11/05
Aiea,Hawaii,21.3822222,-157.9336111,",","Aiea,Hawaii",11/3/05,11/05
Palo Alto,California,37.441883,-122.143019,",","Palo Alto,California",11/4/05,11/05
