ID,Lat,Long,Mopened,Opened,City,State,Commas,CityState,,
38695Phoenix,33.448377,-112.074037,12/05,12/9/05,Phoenix,Arizona,",","Phoenix,Arizona",,
38695Delafield,43.0610275,-88.4040692,12/05,12/9/05,Delafield,Wisconsin,",","Delafield,Wisconsin",,
38695Westfield,42.1390327,-72.7584859,12/05,12/9/05,Westfield,Massachusetts,",","Westfield,Massachusetts",,
38698Chicago,41.8755616,-87.6244212,12/05,12/12/05,Chicago,Illinois,",","Chicago,Illinois",,
38702Lone Tree,39.5360997,-104.8963682,12/05,12/16/05,Lone Tree,Colorado,",","Lone Tree,Colorado",,
38702New York,40.7127281,-74.0060152,12/05,12/16/05,New York,New York,",","New York,New York",,
38702New Milford,41.5867418,-73.4117654,12/05,12/16/05,New Milford,Connecticut,",","New Milford,Connecticut",,
38702Westford,42.5792583,-71.4378411,12/05,12/16/05,Westford,Massachusetts,",","Westford,Massachusetts",,
38702Newton,42.3370414,-71.2092214,12/05,12/16/05,Newton,Massachusetts,",","Newton,Massachusetts",,
38703Lyons,41.811108,-87.8232695,12/05,12/17/05,Lyons,Illinois,",","Lyons,Illinois",,
38703Cleveland,35.1595182,-84.8766115,12/05,12/17/05,Cleveland,Tennessee,",","Cleveland,Tennessee",,
38704Bellevue,41.1366494,-95.8907373,12/05,12/18/05,Bellevue,Nebraska,",","Bellevue,Nebraska",,
38704Woburn,42.4792618,-71.1522766,12/05,12/18/05,Woburn,Massachusetts,",","Woburn,Massachusetts",,
38707Lancaster,40.03813,-76.3056686,12/05,12/21/05,Lancaster,Pennsylvania,",","Lancaster,Pennsylvania",,
38707Lincoln,41.9529237,-71.4663863,12/05,12/21/05,Lincoln,Rhode Island,",","Lincoln,Rhode Island",,
38708Sioux City,42.4966815,-96.4058782,12/05,12/22/05,Sioux City,Iowa,",","Sioux City,Iowa",,
38712San Diego,32.715738,-117.161084,12/05,12/26/05,San Diego,California,",","San Diego,California",,
38715Pinellas Park,27.8428025,-82.6995444,12/05,12/29/05,Pinellas Park,Florida,",","Pinellas Park,Florida",,
38716Temecula,33.493639,-117.148365,12/05,12/30/05,Temecula,California,",","Temecula,California",,
38716Dallas,32.7762719,-96.7968559,12/05,12/30/05,Dallas,Texas,",","Dallas,Texas",,
38716Carmel,39.9788017,-86.1189257,12/05,12/30/05,Carmel,Indiana,",","Carmel,Indiana",,
38717Apopka,28.6779683,-81.5115214,12/05,12/31/05,Apopka,Florida,",","Apopka,Florida",,
38718San Francisco,37.774929,-122.419416,1/06,1/1/06,San Francisco,California,",","San Francisco,California",,
38718Anaheim Hills,33.850802,-117.749066,1/06,1/1/06,Anaheim Hills,California,",","Anaheim Hills,California",,
38718Garland,32.912624,-96.6388833,1/06,1/1/06,Garland,Texas,",","Garland,Texas",,
38718Covington,30.4754702,-90.1009108,1/06,1/1/06,Covington,Louisiana,",","Covington,Louisiana",,
38718Oxford,33.614271,-85.834965,1/06,1/1/06,Oxford,Alabama,",","Oxford,Alabama",,
38722Providence,41.8239891,-71.4128343,1/06,1/5/06,Providence,Rhode Island,",","Providence,Rhode Island",,
38723Salem,44.9391565,-123.033121,1/06,1/6/06,Salem,Oregon,",","Salem,Oregon",,
38723Warr Acres,35.5225569,-97.6189353,1/06,1/6/06,Warr Acres,Oklahoma,",","Warr Acres,Oklahoma",,
38723Blue Springs,39.017316,-94.282265,1/06,1/6/06,Blue Springs,Missouri,",","Blue Springs,Missouri",,
38723St. Paul,44.9504037,-93.1015026,1/06,1/6/06,St. Paul,Minnesota,",","St. Paul,Minnesota",,
38723Elgin,42.03726,-88.2810994,1/06,1/6/06,Elgin,Illinois,",","Elgin,Illinois",,
38723Fort Lauderdale,26.1223084,-80.1433786,1/06,1/6/06,Fort Lauderdale,Florida,",","Fort Lauderdale,Florida",,
38727Aptos,36.977173,-121.899402,1/06,1/10/06,Aptos,California,",","Aptos,California",,
38730Lafayette,37.885758,-122.11802,1/06,1/13/06,Lafayette,California,",","Lafayette,California",,
38730Lawton,34.6086854,-98.3903305,1/06,1/13/06,Lawton,Oklahoma,",","Lawton,Oklahoma",,
38730Lakeville,44.650051,-93.2432791,1/06,1/13/06,Lakeville,Minnesota,",","Lakeville,Minnesota",,
38730Cedar Rapids,41.9758872,-91.6704053,1/06,1/13/06,Cedar Rapids,Iowa,",","Cedar Rapids,Iowa",,
38730Eau Claire,44.811349,-91.4984941,1/06,1/13/06,Eau Claire,Wisconsin,",","Eau Claire,Wisconsin",,
38730Germantown,35.0867577,-89.8100858,1/06,1/13/06,Germantown,Tennessee,",","Germantown,Tennessee",,
38730Worcester,42.2761217,-71.8058232,1/06,1/13/06,Worcester,Massachusetts,",","Worcester,Massachusetts",,
38737Lakewood,33.853627,-118.133956,1/06,1/20/06,Lakewood,California,",","Lakewood,California",,
38737Brenham,30.1668828,-96.3977442,1/06,1/20/06,Brenham,Texas,",","Brenham,Texas",,
38737Sheboygan,43.7128967,-87.9370433,1/06,1/20/06,Sheboygan,Wisconsin,",","Sheboygan,Wisconsin",,
38738Huntingdon Valley,40.1226101,-75.0635049,1/06,1/21/06,Huntingdon Valley,Pennsylvania,",","Huntingdon Valley,Pennsylvania",,
38740Kailua,21.394833,-157.7298913,1/06,1/23/06,Kailua,Hawaii,",","Kailua,Hawaii",,
